station_id,date,cwa_temp_mean,cwa_temp_max,cwa_temp_min,cwa_rh_mean,cwa_rh_min,cwa_wind_speed_mean,cwa_wind_dir_prevailing,cwa_peak_gust,cwa_rain_sum_raw,cwa_rain_sum,cwa_precip_duration,cwa_sunshine_hours,cwa_sunshine_rate,cwa_global_solar_radiation_mj_m2,cwa_global_solar_hourly_max,cwa_visibility,cwa_total_cloud_amount,temp_mean_flag,rh_mean_flag,rain_sum_flag,sunshine_flag,solar_flag
467441,2025-01-01,18.5,22.5,16.1,75,62,0.5,330,4.1,-9.8,0.0,1.2,0.1,0.9,6.92,1.47,,,0,0,0,10,0
467441,2025-01-02,17.7,19.2,16.8,93,88,0.7,340,4.9,4.0,4.0,5.9,0.0,0.0,4.55,0.91,,,0,0,0,10,0
467441,2025-01-03,17.7,20.5,14.3,80,66,0.6,340,4.7,0.5,0.5,1.6,0.2,1.9,8.25,1.3,,,0,0,0,10,0
467441,2025-01-04,17.2,23.7,12.5,84,56,0.8,300,5.4,0.0,0.0,0.0,9.3,86.5,15.66,2.54,,,0,0,0,10,0
467441,2025-01-05,18.4,24.9,14.1,84,48,0.7,340,5.5,0.0,0.0,0.0,1.6,14.9,10.71,1.98,,,0,0,0,10,0
467441,2025-01-06,18.1,25.0,13.8,77,47,0.7,340,5.2,0.0,0.0,0.0,9.8,91.1,16.97,2.65,,,0,0,0,10,0
467441,2025-01-07,16.7,22.0,11.7,79,55,0.7,270,6.1,0.0,0.0,0.0,4.1,37.7,10.75,2.23,,,0,0,0,10,0
467441,2025-01-08,18.1,24.1,13.7,75,48,0.6,340,5.5,0.0,0.0,0.0,6.3,58.4,13.75,2.21,,,0,0,0,10,0
467441,2025-01-09,17.9,23.5,14.4,73,53,0.7,340,4.9,-9.8,0.0,0.1,3.1,28.7,11.18,1.91,,,0,0,0,10,0
467441,2025-01-10,15.5,21.0,12.3,65,50,1.0,340,6.2,-9.8,0.0,2.8,6.8,63.0,14.25,2.33,,,0,0,0,10,0
467441,2025-01-11,15.5,21.3,12.2,70,51,0.9,340,5.4,-9.8,0.0,0.1,4.7,43.1,13.48,2.63,,,0,0,0,10,0
467441,2025-01-12,15.5,21.5,10.8,59,38,0.8,340,5.7,0.0,0.0,0.0,8.9,82.3,16.78,2.64,,,2,0,2,10,0
467441,2025-01-13,15.0,21.8,8.1,67,45,0.8,260,5.7,0.0,0.0,0.0,8.2,75.7,16.57,2.67,,,0,0,0,10,0
467441,2025-01-14,17.3,22.3,13.6,76,49,0.7,350,5.0,1.5,1.5,3.5,0.0,0.0,7.44,1.32,,,0,0,0,10,0
467441,2025-01-15,16.0,19.9,13.7,85,72,0.9,340,5.8,2.0,2.0,3.4,0.1,0.9,7.36,1.35,,,0,0,0,10,0
467441,2025-01-16,14.9,20.5,10.9,74,60,0.7,350,5.3,0.0,0.0,0.0,5.6,51.6,14.03,2.61,,,0,0,0,10,0
467441,2025-01-17,15.4,21.2,10.2,74,54,0.9,280,6.3,0.0,0.0,0.0,9.6,88.3,17.27,2.8,,,0,0,0,10,0
