site,year,season,n_days,mean_mda8,p90_mda8
楠梓,2024,autumn,91,49.72732862375719,66.72857142857141
楠梓,2024,spring,92,50.76124482401655,70.97999999999999
楠梓,2024,summer,92,33.21089544513456,50.371249999999996
楠梓,2024,winter,91,50.328538723181566,65.12499999999999
楠梓,2025,autumn,91,49.35460491889062,65.73749999999998
楠梓,2025,spring,92,46.886438923395424,69.05749999999999
楠梓,2025,summer,92,33.986743012422345,51.686249999999994
楠梓,2025,winter,90,48.124933862433856,61.16749999999999
橋頭,2018,autumn,91,58.35430402930402,80.725
橋頭,2018,spring,92,46.24383410973085,67.93625
橋頭,2018,summer,92,33.82344720496894,49.85482142857143
橋頭,2018,winter,90,44.24228174603174,59.54964285714286
橋頭,2019,autumn,91,66.11330455259025,83.33749999999999
橋頭,2019,spring,92,54.4697140269151,78.35374999999999
橋頭,2019,summer,92,34.893491200828144,55.716428571428565
橋頭,2019,winter,90,49.82006613756613,64.815
橋頭,2020,autumn,91,65.05088958660384,80.39999999999998
橋頭,2020,spring,92,52.89687499999998,75.23499999999999
橋頭,2020,summer,92,33.29827963250516,51.685124999999985
橋頭,2020,winter,91,51.27995813710098,66.84999999999998
橋頭,2021,autumn,91,52.08989403453688,73.07499999999999
橋頭,2021,spring,92,49.65627587991717,70.85749999999999
橋頭,2021,summer,92,33.6705357142857,45.99375
橋頭,2021,winter,90,51.33431878306877,68.68249999999999
橋頭,2022,autumn,91,57.6513343799058,70.44999999999997
橋頭,2022,spring,92,50.15189570393373,70.67624999999998
橋頭,2022,summer,92,30.25432841614905,50.351249999999986
橋頭,2022,winter,90,42.175800264550254,56.07749999999998
橋頭,2023,autumn,91,54.5628205128205,70.48749999999998
橋頭,2023,spring,92,55.758178053830214,70.265
橋頭,2023,summer,92,31.85434782608694,48.131249999999994
橋頭,2023,winter,89,46.21433921883359,61.62857142857142
橋頭,2024,autumn,90,48.95611111111109,65.01374999999999
橋頭,2024,spring,92,51.568368271221516,71.71249999999999
