variable,unit,n_months,sen_slope,ci_low,ci_high,p_value
NOx,ppb year-1,96,-0.7063149539655851,-0.8201614449052854,-0.5670890875335282,0.0
NO2,ppb year-1,96,-0.5104249596712467,-0.600749738695678,-0.44278606579845053,1.5543122344752192e-15
CO,ppm year-1,96,-0.016512379567864992,-0.018580535571162404,-0.013365919762173634,0.0
PM2.5,ug m-3 year-1,96,-0.7299479953854922,-1.0223208104436174,-0.48252388844447447,6.895437092424572e-07
